// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	   1050000	     12669	     11360
    100000	   1050000	     30759	     10106
        10	   1060000	     12628	     11526
       100	   1060000	     12960	     11534
      1000	   1060000	     12764	     14620
     10000	   1060000	     15915	     12275
    100000	   1060000	     29457	     10647
        10	   1070000	     13570	     13373
       100	   1070000	     11693	     12579
      1000	   1070000	     12473	     11922
     10000	   1070000	     25063	     11312
    100000	   1070000	     33074	     10073
        10	   1080000	     13333	     12497
       100	   1080000	     11964	     11522
      1000	   1080000	     15017	     11751
     10000	   1080000	     17387	     11213
    100000	   1080000	     24879	      9671
        10	   1090000	     13797	     13075
       100	   1090000	     11857	     14231
      1000	   1090000	     12006	     14753
     10000	   1090000	     13591	     12275
    100000	   1090000	     33173	     12717
        10	   1100000	     14012	     15933
       100	   1100000	     13042	     13328
      1000	   1100000	     13778	     14173
     10000	   1100000	     16443	     13953
    100000	   1100000	     27167	     11950
        10	   1110000	     17087	     14082
       100	   1110000	     15600	     13247
      1000	   1110000	     14419	     12701
     10000	   1110000	     17246	     12873
    100000	   1110000	     27511	     10249
        10	   1120000	     15889	     12631
       100	   1120000	     13051	     12086
      1000	   1120000	     14742	     13111
     10000	   1120000	     10156	      8520
    100000	   1120000	     17247	      8008
        10	   1130000	     11961	     10135
       100	   1130000	      8716	     14645
      1000	   1130000	      9242	      9845
     10000	   1130000	      9801	      9247
    100000	   1130000	     17272	      7093
        10	   1140000	     12229	      9162
       100	   1140000	      9515	      9279
      1000	   1140000	      9049	      9716
     10000	   1140000	      9981	      8342
    100000	   1140000	     17546	      6724
        10	   1150000	     10244	      9903
       100	   1150000	      9400	      9479
      1000	   1150000	     11052	      9484
     10000	   1150000	     10734	      8739
    100000	   1150000	     32563	      6716
        10	   1160000	     11547	     10279
       100	   1160000	     12987	      9611
      1000	   1160000	     10567	      9584
     10000	   1160000	     12096	      8916
    100000	   1160000	     19506	      6500
        10	   1170000	     13954	      9616
       100	   1170000	     12677	      9661
      1000	   1170000	     12627	      9908
     10000	   1170000	     14189	      9166
    100000	   1170000	     28384	      7089
        10	   1180000	     19000	     10419
       100	   1180000	     14121	     11219
      1000	   1180000	     13701	     10581
     10000	   1180000	     16326	      9286
    100000	   1180000	     40235	      6910
        10	   1190000	     13041	      9835
       100	   1190000	     14297	     10010
      1000	   1190000	     14546	     10721
     10000	   1190000	     15381	      9945
    100000	   1190000	     27783	      9892
        10	   1200000	     20314	     11071
       100	   1200000	     13556	     10812
      1000	   1200000	     14183	     10814
     10000	   1200000	     15660	      9457
    100000	   1200000	     74112	      7030
        10	   1210000	     14529	     10766
       100	   1210000	     14450	     10553
      1000	   1210000	     13785	     10693
     10000	   1210000	     15325	      9649
    100000	   1210000	     28889	      8103
        10	   1220000	     14960	     10830
       100	   1220000	     13814	     10264
      1000	   1220000	     15430	     10766
     10000	   1220000	     17250	      9943
    100000	   1220000	     30232	      7967
        10	   1230000	     15371	     11022
       100	   1230000	     13576	     10551
      1000	   1230000	     13601	     12783
     10000	   1230000	     15214	     10080
    100000	   1230000	     29983	      7832
        10	   1240000	     15380	     11790
       100	   1240000	     14412	     10572
      1000	   1240000	     14460	     10707
     10000	   1240000	     15376	      9775
    100000	   1240000	     30346	      9304
        10	   1250000	     16798	     11470
       100	   1250000	     14063	     11584
      1000	   1250000	     14992	     10371
     10000	   1250000	     16359	      9887
    100000	   1250000	     41615	      7682
        10	   1260000	     14645	     11396
       100	   1260000	     19510	     11111
      1000	   1260000	     17945	     11122
     10000	   1260000	     15496	      9420
    100000	   1260000	     29196	      7117
        10	   1270000	     13587	     10512
       100	   1270000	     14492	     10904
      1000	   1270000	     13789	     10935
     10000	   1270000	     15690	     10643
    100000	   1270000	     29302	      7647
        10	   1280000	     14399	     12894
       100	   1280000	     13886	     12367
      1000	   1280000	     13873	     11728
     10000	   1280000	     15756	     10278
    100000	   1280000	     36974	      7985
        10	   1290000	     14166	     10637
       100	   1290000	     15296	     10751
      1000	   1290000	     15525	     10587
     10000	   1290000	     17340	      9814
    100000	   1290000	     32892	      8914
        10	   1300000	     15394	     12615
       100	   1300000	     14613	     10880
      1000	   1300000	     14307	     10527
     10000	   1300000	     15540	     10216
    100000	   1300000	     30407	      7250
        10	   1310000	     14665	     10537
       100	   1310000	     13968	     10876
      1000	   1310000	     14416	     10615
     10000	   1310000	     15811	     10263
    100000	   1310000	     30178	      7438
        10	   1320000	     14081	     11434
       100	   1320000	     13987	     11058
      1000	   1320000	     14413	     10905
     10000	   1320000	     18565	     10354
    100000	   1320000	     37706	      8579
        10	   1330000	     15195	     10927
       100	   1330000	     14718	     10926
      1000	   1330000	     16237	     10941
     10000	   1330000	     19597	     10420
    100000	   1330000	     30626	      8119
        10	   1340000	     16827	     11011
       100	   1340000	     14470	     11064
      1000	   1340000	     14674	     11263
     10000	   1340000	     15820	      9962
    100000	   1340000	     30831	      8777
        10	   1350000	     14490	     12209
       100	   1350000	     14371	     12809
      1000	   1350000	     16998	     10920
     10000	   1350000	     17538	     11010
    100000	   1350000	     32197	      7566
        10	   1360000	     15371	     11782
       100	   1360000	     14607	     11035
      1000	   1360000	     14939	     10955
     10000	   1360000	     16732	     10050
    100000	   1360000	     33654	      7626
        10	   1370000	     14617	     11220
       100	   1370000	     14985	     11189
      1000	   1370000	     15189	     14591
     10000	   1370000	     16586	     10215
    100000	   1370000	     31621	      7661
        10	   1380000	     14838	     12745
       100	   1380000	     14898	     13340
      1000	   1380000	     14881	     15642
     10000	   1380000	     16717	     13600
    100000	   1380000	     32390	     22043
        10	   1390000	     18128	     11713
       100	   1390000	     22737	     11805
      1000	   1390000	     23616	     11377
     10000	   1390000	     23782	     13187
    100000	   1390000	     37608	      8371
        10	   1400000	     16244	     11875
       100	   1400000	     15811	     11630
      1000	   1400000	     19660	     11420
     10000	   1400000	     16799	     10857
    100000	   1400000	     32644	      8017
        10	   1410000	     16300	     12020
       100	   1410000	     15170	     11576
      1000	   1410000	     15256	     11547
     10000	   1410000	     17191	     10598
    100000	   1410000	     33236	      7615
        10	   1420000	     15493	     12165
       100	   1420000	     15471	     16430
      1000	   1420000	     15678	     12897
     10000	   1420000	     16868	     11093
    100000	   1420000	     34216	      8844
        10	   1430000	     19001	     17714
       100	   1430000	     18038	     14419
      1000	   1430000	     22960	     13365
     10000	   1430000	     27341	     11230
    100000	   1430000	     41270	     11663
        10	   1440000	     17805	     12037
       100	   1440000	     15767	     11982
      1000	   1440000	     16423	     12317
     10000	   1440000	     19170	     10874
    100000	   1440000	     33742	      7816
        10	   1450000	     15589	     13550
       100	   1450000	     17033	     13454
      1000	   1450000	     17216	     12049
     10000	   1450000	     17791	     12048
    100000	   1450000	     36140	      8838
        10	   1460000	     17130	     12284
       100	   1460000	     16908	     13012
      1000	   1460000	     17436	     14521
     10000	   1460000	     19268	     14703
    100000	   1460000	     42313	      8337
        10	   1470000	     16795	     12963
       100	   1470000	     19318	     13197
      1000	   1470000	     16406	     12974
     10000	   1470000	     23328	     11385
    100000	   1470000	     47358	      9185
        10	   1480000	     17042	     13249
       100	   1480000	     16578	     14426
      1000	   1480000	     17878	     13604
     10000	   1480000	     20863	     12814
    100000	   1480000	     36929	     11641
        10	   1490000	     17807	     12923
       100	   1490000	     16585	     15665
      1000	   1490000	     17444	     12400
     10000	   1490000	     20889	     13202
    100000	   1490000	     37599	      9920
        10	   1500000	     18102	     14218
       100	   1500000	     21667	     12749
      1000	   1500000	     24880	     12674
     10000	   1500000	     27343	     12326
    100000	   1500000	     38549	     11514
        10	   1510000	     17667	     12890
       100	   1510000	     16982	     15642
      1000	   1510000	     17112	     14214
     10000	   1510000	     19078	     11557
    100000	   1510000	     38251	      8724
        10	   1520000	     17260	     13662
       100	   1520000	     19880	     12873
      1000	   1520000	     19461	     13662
     10000	   1520000	     19340	     11370
    100000	   1520000	     43350	      8631
        10	   1530000	     16172	     14913
       100	   1530000	     16438	     12897
      1000	   1530000	     16731	     12265
     10000	   1530000	     20209	     11540
    100000	   1530000	     42941	      8591
        10	   1540000	     16529	     13141
       100	   1540000	     17396	     13222
      1000	   1540000	     19703	     12436
     10000	   1540000	     20642	     11645
    100000	   1540000	     37200	      8821
        10	   1550000	     17418	     16760
       100	   1550000	     16371	     16604
      1000	   1550000	     16817	     12813
     10000	   1550000	     23898	     12179
    100000	   1550000	     38837	     10364
        10	   1560000	     16637	     19620
       100	   1560000	     19127	     18816
      1000	   1560000	     17578	     16875
     10000	   1560000	     22288	     12602
    100000	   1560000	     61527	      8621
        10	   1570000	     18407	     13713
       100	   1570000	     18442	     19873
      1000	   1570000	     17743	     21625
     10000	   1570000	     22007	     20932
    100000	   1570000	     37703	      8637
        10	   1580000	     17482	     12806
       100	   1580000	     22383	     12822
      1000	   1580000	     19951	     12919
     10000	   1580000	     20704	     11764
    100000	   1580000	     36633	     10107
        10	   1590000	     24892	     14805
       100	   1590000	     17283	     14257
      1000	   1590000	     19255	     12867
     10000	   1590000	     20884	     13178
    100000	   1590000	     41719	      9993
        10	   1600000	     19304	     14151
       100	   1600000	     18595	     14018
      1000	   1600000	     18711	     14123
     10000	   1600000	     20752	     12513
    100000	   1600000	     40606	      9419
        10	   1610000	     17788	     14972
       100	   1610000	     18320	     15921
      1000	   1610000	     23859	     13921
     10000	   1610000	     27003	     12755
    100000	   1610000	     40277	      9851
        10	   1620000	     21806	     15219
       100	   1620000	     19228	     13963
      1000	   1620000	     19245	     17915
     10000	   1620000	     19964	     12558
    100000	   1620000	     44979	      9370
        10	   1630000	     17968	     13286
       100	   1630000	     18368	     13680
      1000	   1630000	     18417	     13423
     10000	   1630000	     20110	     12196
    100000	   1630000	     37838	      8540
        10	   1640000	     17661	     13681
       100	   1640000	     17561	     14278
      1000	   1640000	     19404	     14196
     10000	   1640000	     22664	     12376
    100000	   1640000	     39341	      9219
        10	   1650000	     20116	     15702
       100	   1650000	     17947	     13706
      1000	   1650000	     18255	     13936
     10000	   1650000	     22071	     12227
    100000	   1650000	     38335	      8838
        10	   1660000	     18139	     13656
       100	   1660000	     17600	     13583
      1000	   1660000	     18284	     13567
     10000	   1660000	     20099	     12513
    100000	   1660000	     39983	      9161
        10	   1670000	     18143	     13819
       100	   1670000	     17790	     14536
      1000	   1670000	     18077	     13614
     10000	   1670000	     20095	     13254
    100000	   1670000	     43419	      8906
        10	   1680000	     18267	     13851
       100	   1680000	     18019	     14983
      1000	   1680000	     18429	     13885
     10000	   1680000	     22146	     13039
    100000	   1680000	     41012	      9181
        10	   1690000	     18079	     14019
       100	   1690000	     20775	     13711
      1000	   1690000	     18503	     13933
     10000	   1690000	     20234	     13167
    100000	   1690000	     39983	      8887
        10	   1700000	     18274	     14118
       100	   1700000	     18380	     14157
      1000	   1700000	     19500	     14094
     10000	   1700000	     20554	     12731
    100000	   1700000	     39935	      9289
        10	   1710000	     18925	     13983
       100	   1710000	     20686	     14441
      1000	   1710000	     20558	     15244
     10000	   1710000	     20859	     13171
    100000	   1710000	     41197	      9428
        10	   1720000	     18339	     14278
       100	   1720000	     18827	     15499
      1000	   1720000	     18855	     14525
     10000	   1720000	     20887	     12690
    100000	   1720000	     39932	      9251
        10	   1730000	     19187	     15187
       100	   1730000	     19032	     14350
      1000	   1730000	     18680	     14157
     10000	   1730000	     21036	     12763
    100000	   1730000	     40297	     10507
        10	   1740000	     22326	     14363
       100	   1740000	     18431	     14799
      1000	   1740000	     18945	     15174
     10000	   1740000	     22131	     13748
    100000	   1740000	     41240	     10037
        10	   1750000	     18822	     14437
       100	   1750000	     19015	     15444
      1000	   1750000	     19457	     14082
     10000	   1750000	     20880	     12718
    100000	   1750000	     41316	      9290
        10	   1760000	     19027	     14626
       100	   1760000	     18904	     14507
      1000	   1760000	     19004	     14295
     10000	   1760000	     21060	     13111
    100000	   1760000	     40839	      9143
        10	   1770000	     22650	     14779
       100	   1770000	     21765	     14974
      1000	   1770000	     19564	     16983
     10000	   1770000	     21143	     13010
    100000	   1770000	     40825	      9906
        10	   1780000	     19094	     15104
       100	   1780000	     19335	     14371
      1000	   1780000	     19310	     14420
